"publication_id","title","publication_year","publication_status","article_url","doi","journal","issn","eissn","volume","issue","pages","authors","item_type","open_access","accounting_affiliation_observed","abdc_rating","abdc_for","abdc_journal_title","abdc_match_method","abdc_match_status","abdc_list_version","source_url","harvested_at"
"real-costs-real-impacts-a-path-to-social-services-sustainability","Real Costs, Real Impacts: a Path to Social Services Sustainability","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-a-path-to-social-services-sustainability/","","","","","","","","David Gilchrist, Ben Perks","Research output: Book/Report › Report","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"school-of-education-sheffield-university-the-creation-of-public-v","School of Education, Sheffield University: The Creation of Public Value in Human Services","2025","Published - 13 Nov 2025","https://research-repository.uwa.edu.au/en/publications/school-of-education-sheffield-university-the-creation-of-public-v/","","","","","","","","David Gilchrist","Research output: Contribution to conference › Conference presentation/ephemera","false","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"summary-report-the-lifetime-price-of-harm-economic-costs-of-sexua","Summary Report: The Lifetime Price of Harm - Economic Costs of Sexual Violence and the Case for Timely Intervention in Australia","2025","Published - Oct 2025","https://research-repository.uwa.edu.au/en/publications/summary-report-the-lifetime-price-of-harm-economic-costs-of-sexua/","","","","","","","","Ben Perks, David Gilchrist","Research output: Book/Report › Report","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"sustainable-development-goal-87-eradicating-modern-slavery-in-aus","Sustainable Development Goal 8.7: Eradicating Modern Slavery in Australia","2025","Published - 28 Nov 2025","https://research-repository.uwa.edu.au/en/publications/sustainable-development-goal-87-eradicating-modern-slavery-in-aus/","","","","","","","","Fiona McGaughey, Lyndie Bayne, Dominic Dagbanja, Rebecca Faugno","Research output: Other contribution","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"the-clock-ticks-temporal-effects-in-brand-donations","The Clock Ticks: Temporal Effects in Brand Donations","2025","Published - Dec 2025","https://research-repository.uwa.edu.au/en/publications/the-clock-ticks-temporal-effects-in-brand-donations/","","","","","","","","Kai Wang, Zelin Tong, Fang Liu, Vincent Chong, Liem Viet Ngo","Research output: Chapter in Book/Conference paper › Conference paper › peer-review","false","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"the-effectiveness-of-chatgpt-to-support-threshold-concepts-knowle","The effectiveness of ChatGPT to support threshold concepts knowledge in financial accounting an exploratory study","2025","Published - 29 Oct 2025","https://research-repository.uwa.edu.au/en/publications/the-effectiveness-of-chatgpt-to-support-threshold-concepts-knowle/","","","","","","","16--27","Ilse Lubbe, Nikki Schonfeldt","Research output: Chapter in Book/Conference paper › Conference paper › peer-review","false","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"the-impact-of-an-esg-nudge-on-retail-investor-engagement-in-susta","The impact of an ESG nudge on retail investor engagement in sustainable finance: evidence from an investment decision experiment","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/the-impact-of-an-esg-nudge-on-retail-investor-engagement-in-susta/","10.1108/SAMPJ-10-2024-1104","Sustainability Accounting, Management and Policy Journal","2040-8021","","16","6","1807-1830","Glen Hutchings","Research output: Contribution to journal › Article › peer-review","false","true","A","3501","Sustainability Accounting, Management and Policy Journal","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"the-irish-welfare-state-its-historical-and-contemporary-developme","The Irish Welfare State: Its Historical and Contemporary Development","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/the-irish-welfare-state-its-historical-and-contemporary-developme/","","","","","","","","David Gilchrist, Nurdan Colleran","Research output: Other contribution","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"the-lifetime-price-of-harm-economic-costs-of-sexual-violence-and--2","The Lifetime Price of Harm - Economic Costs of Sexual Violence and the Case for Early Intervention in Australia","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/the-lifetime-price-of-harm-economic-costs-of-sexual-violence-and--2/","","","","","","","","Ben Perks, David Gilchrist","Research output: Working paper","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"universite-lumiere-lyon-2-project-citizens-first-the-development-","Universite Lumiere Lyon 2 - Project: Citizens First - The Development and Status of the French Welfare State","2025","Published - 2025","https://research-repository.uwa.edu.au/en/publications/universite-lumiere-lyon-2-project-citizens-first-the-development-/","","","","","","","","David Gilchrist, Kate Searle, Rebeca Gomez Betancourt","Research output: Other contribution","false","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"university-of-leicester-building-public-value-via-the-third-secto","University of Leicester: Building Public Value Via The Third Sector - Direct and Indirect Value Adding","2025","Published - 19 Nov 2025","https://research-repository.uwa.edu.au/en/publications/university-of-leicester-building-public-value-via-the-third-secto/","","","","","","","","David Gilchrist","Research output: Contribution to conference › Conference presentation/ephemera","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"price-erosion-and-sales-volume-analysis-of-china-smart-phone-mark","Price Erosion and Sales Volume Analysis of China Smart-Phone Market","2016","Published - 2016","https://research-repository.uwa.edu.au/en/publications/price-erosion-and-sales-volume-analysis-of-china-smart-phone-mark/","","","","","","","16--57","Fangbin Lin","Research output: Chapter in Book/Conference paper › Chapter","false","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
