title,doi,reason
Qantas Ltd,,no DOI recorded
Design issues in audit JDM experiments,,no DOI recorded
Order effects and recency: where do we go from here?,,no DOI recorded
Hierarchical differences in audit workpaper review performance,,no DOI recorded
Effects of feedback and task predictability on task learning and judgment accuracy,,no DOI recorded
Audit judgment research: overview and opportunities for research in China,,no DOI recorded
"Audit judgment research-issues addressed, research methods and future directions",,no DOI recorded
Multi-auditor judgement/decision making research: A decade later,,no DOI recorded
The audit review process: a characterization from the persuasion perspective,,no DOI recorded
Factors affecting the audit of revalued non-current assets: initial public offerings and source reliability,,no DOI recorded
Configural information processing in auditing: further evidence,,no DOI recorded
"Recency effects: Task complexity, decision mode, and task-specific experience",,no DOI recorded
The impact of the review process in hypothesis generation tasks,,no DOI recorded
Identification of Key Financial Ratios for Going Concern Decisions in a Manufacturing Environment,,no DOI recorded
The Relationship between Knowledge Structure and Judgments for Experienced and Inexperienced Auditors,,no DOI recorded
Auditor Versus Model : Information Choice and Information Processing,,no DOI recorded
An Evaluation of Accounting for Long-term Construction Contracts : An International Comparison,,no DOI recorded
Accounting for Long-term Construction Contracts,,no DOI recorded
Death by Committee: An Analysis of Corporate Board (Sub-) Committees,,no DOI recorded
Mapping the unmet tax needs of financially vulnerable small business: a systems thinking approach,,no DOI recorded
Emeritus Professor Binh Tran-Nam-a personal tribute,,no DOI recorded
Redefining ATO Powers at the Intersection of Debt and Financial Vulnerability,,no DOI recorded
Tax history and philanthropy: a tribute to John Taylor,,no DOI recorded
A Preliminary Analysis of Australian Income Tax Measures relating to Environmental Protection,,no DOI recorded
Identifying and supporting financially vulnerable women experiencing economic abuse: a grounded theory approach,,no DOI recorded
Tax Justice and Equity in Australia in the Post-pandemic Environment,,no DOI recorded
An Introduction to the Special Issue on Tax Dispute Resolution,,no DOI recorded
Alternative Tax Dispute Resolution: Perspectives from ATO Officers,,no DOI recorded
Tax Accounting for Financial Wellbeing: Quantifying the Unmet need for Pro Bono Tax Advice,10.3316/agispt.20230105081319,DOI not found in OpenAlex
Serious Hardship Relief: In Need of a Serious Rethink?,,no DOI recorded
Interprofessional Collaborative Practice In Pro Bono Tax Clinics: A Case Study Approach,,no DOI recorded
Pro Bono Tax Clinics: An international comparison and framework for evidence-based evaluation,,no DOI recorded
The Australian GST cross-border rules in a global context,,no DOI recorded
y 20th Anniversary of GST in Australia,,no DOI recorded
The impact of public perceptions on general consumption taxes,,no DOI recorded
The development and testing of a diagnostic tool for assessing VAT compliance costs: Pilot study findings,,no DOI recorded
Effective Access to Independent Tax Dispute Resolution in Australia: The Tax Adviser’s Perspective,,no DOI recorded
A Proposal for the Development and Testing of a Diagnostic Tool for Assessing VAT Compliance Costs,,no DOI recorded
Untangling the worldwide VAT web on digital supplies,,no DOI recorded
"Tax Disputes, Litigation Costs and Access to Tax Justice",,no DOI recorded
"Tax and the environment:
an evaluation framework for tax policy reform — group Delphi study",,no DOI recorded
The internal costs of VAT compliance: Evidence from Australia and the United Kingdom and suggestions for mitigation,,no DOI recorded
Taxation of Sovereign Wealth Funds – A Suggested Approach,,no DOI recorded
Regulation of tax agents in Australia,,no DOI recorded
Regulation of tax agents in Australia,,no DOI recorded
"STEADY AS SHE GOES!"" IN THE TROUBLED WATERS OF TAX PRACTICE AND TAX ADMINISTRATION",,no DOI recorded
FROM ANTI-AVOIDANCE TO TAX INDUCED INSOLVENCY,,no DOI recorded
TAX AND POLITICS,,no DOI recorded
Tackling VAT Fraud,,no DOI recorded
VAT Compliance Cost Indicators,,no DOI recorded
Editorial,,no DOI recorded
The Henry Review's Tax on Financial Services: An Alternative Approach For Australia,,no DOI recorded
TAX LAW CHANGE: THE NEXT BIG WAVE,,no DOI recorded
Editorial - Tax Law Change: The Next Big Wave,,no DOI recorded
Editorial,,no DOI recorded
Access to tax justice: how costs influence dispute resolution choices,,no DOI recorded
Independent Tax Dispute Resolution and Social Justice in Australia,,no DOI recorded
Editorial,,no DOI recorded
Editorial: Reforms and more reforms in tax lie ahead,,no DOI recorded
Editorial: Renewed community interest in tax: what will it lead to?,,no DOI recorded
RENEWED COMMUNITY INTEREST IN TAX: WHAT WILL IT LEAD TO?,,no DOI recorded
The New 'Option 2'? The Henry Review's Broad Based Cash Flow Tax,,no DOI recorded
Editorial,,no DOI recorded
Editorial,,no DOI recorded
THE POLITICS AND PRACTICALITIES OF TAX IN 2011,,no DOI recorded
The miraculous reduced input tax credit for financial supplies in Australia,,no DOI recorded
"Taxing virtually everything: - cyberspace profits, property law and taxation liability",,no DOI recorded
"Taxing virtually everything: cyberspace profits, property law and taxation liability",,no DOI recorded
Understanding Australian small businesses and the drivers of compliance costs: A grounded theory approach,,no DOI recorded
"Review: Taxpayer Rights: Theory, Origin and Interpretation by Duncan Bentley",,no DOI recorded
Whitehall to Wagga Wagga: The Legacy of UK Tax Law in Australia,,no DOI recorded
Goodwill and taxation issues,,no DOI recorded
Introduction,,no DOI recorded
VAT and GST: A Comparative Review of Tax Audits in Australia and the United Kingdom,,no DOI recorded
GST and VAT Audits in Australia and the UK: Tax Advisers` Perceptions and Issues,,no DOI recorded
Boosting the Knowledge Economy: the Role of Taxation in Businesses` Choice of Location of Intangible Property,,no DOI recorded
Can simplified legal drafting reduce the psychological costs of tax compliance? An Australian perspective,,no DOI recorded
Preface - Editors' Note,,no DOI recorded
Editorial Announcement,,no DOI recorded
The Expectations of Tax Agents Dealing with the GST,,no DOI recorded
Have You Shut the Windows? Time Limits Applicable to Finality of Assessments,,no DOI recorded
Keeping to the Straight and Narrow: Interpreting the GST and Income Tax,,no DOI recorded
Taxing the Intangible: Overview of global approaches and a review of recent policy changes in the UK,,no DOI recorded
A Conflict of Duty - A Federal Approach to the Tax Treatment of Goodwill and Other Intangibles,,no DOI recorded
GST Rulings compared to ordinary rulings,,no DOI recorded
The difference between ordinary and GST rulings,,no DOI recorded
Trusts are dead - long live trusts!,,no DOI recorded
Keeping the GST out of the CGT,,no DOI recorded
Tax Compliance Costs: Research Methodology and Empirical Evidence from Australia,,no DOI recorded
The fate of goodwill after Ralph,,no DOI recorded
Taxation Compliance Costs: Some Lessons From Down-Under,,no DOI recorded
"A review of `The New Wealth of Nations - Taxing Cyberspace` by Arthur J. Cordell, T. Ran Ide, Luc Soete and Karin Kamp",,no DOI recorded
Letter to the editor on GST Compliance costs,,no DOI recorded
When is Goodwill Not Goodwill?,,no DOI recorded
An Australasian experience of the use of selected technologies in the delivery of a legal education program: some lessons for faculties and educational program planners,,no DOI recorded
Dealing with goodwill - small business roll-overs and exemptions: part I,,no DOI recorded
Dealing with goodwill - small business roll-overs and exemptions: part II,,no DOI recorded
Murry`s case - another turn in the goodwill carousel,,no DOI recorded
Some observations on the taxation of monopoly goodwill,,no DOI recorded
The Hidden Costs of a GST: An International Perspective,,no DOI recorded
The Goodwill story is not all good news,,no DOI recorded
Compliance costs and taxation impact statements,,no DOI recorded
Rowe: A symmetry cemetery?,,no DOI recorded
Income Tax: deduction of expenditure on education of oneself - an Australian perspective,,no DOI recorded
How tax gap can inform tax policy and administration: a case study of Australia’s individual income tax,,no DOI recorded
Estimating tax gap is everything to an informed response to the digital era,,no DOI recorded
e‑filing and compliance risk: Evidence from Australian personal income tax deductions,,no DOI recorded
The devil is in the detail: The distributional consequences of income tax sharing in the Australian federation,,no DOI recorded
Does the Australian Higher Education Loan Program (HELP) undermine personal income tax integrity?,,no DOI recorded
Re-defining the land tax base in highly urbanised locations,,no DOI recorded
A politically viable strategy for limiting personal income tax deductions: The case for a global cap,,no DOI recorded
Towards a holistic analysis of personal income tax reliefs and their reform,,no DOI recorded
Fiscal Federalism under Review (at Speed),,no DOI recorded
Fiscal equalisation and State incentive for policy reform,,no DOI recorded
State Taxes: From a problem acknowledged to a problem addressed?,,no DOI recorded
States ponder own-tax reform options post Forum,,no DOI recorded
Henry Review walks a tightrope,,no DOI recorded
States’ Taxation and the Henry Review,,no DOI recorded
Tax devolution and intergovernmental transfer policy options in a budgetary crisis: UK lessons from Australia,,no DOI recorded
Vital Pieces of Reform Are Missing From Package,,no DOI recorded
Why the Henry Review State tax reforms will not happen,,no DOI recorded
Fiscal equalization in Australia: High level VFI and equity focused HFE,,no DOI recorded
Reform of the Commonwealth Grants Commission: It`s all in the Detail,,no DOI recorded
The Impact of Tax Gap on Future Tax Reforms,,no DOI recorded
Moving Beyond Traditional Cash Measures of Economic Well-Being: Including Indirect Benefits and Indirect Taxes,,no DOI recorded
The Case for Measuring Tax Gap,,no DOI recorded
Reforming Personal Income and Consumption Taxes in Australia: 5 years of change,,no DOI recorded
GST and the changing incidence of Australian Taxes: 1994-95 to 2001-02,,no DOI recorded
GST and the Changing Incidence of Australian Taxes: 1994-95 to 2001-02,,no DOI recorded
A Budget all cashed up but down on Vision?,,no DOI recorded
It's Creeping and Costing Australians: [Bracket creep arises not just from the effects of inflation on the personal income tax schedule but also on the value of tax offsets],,no DOI recorded
Putting the incentive back in tax,,no DOI recorded
Render unto Caesar,,no DOI recorded
The Tax Files: Debunking the Furphies,,no DOI recorded
The Distributional Impact of Year 2000 Tax Reforms in Australia,,no DOI recorded
GST and its effects on efficiency and equity,,no DOI recorded
Goods and Services tax - an overview,,no DOI recorded
GST: The Ultimate Householder's Guide,,no DOI recorded
Fair but with a short straw,,no DOI recorded
It`s change to satisfy political objectives,,no DOI recorded
Reform of Australian Indirect Taxation and GST,,no DOI recorded
Tax plan not exactly the ANTS pants,,no DOI recorded
Taxation of internet trade,,no DOI recorded
The tax issues that will not go away,,no DOI recorded
Preface,,no DOI recorded
"Distributive Justice and Income Taxation: Is Hong
Kong Special?",,no DOI recorded
INCOME TAX LAW DESIGN AND EQUITY: LESSONS FROM HONG KONG,10.3316/informit.570684976132467,DOI not found in OpenAlex
VAT Compliance Burdens in the OECD and China,,no DOI recorded
Proposal for Voluntary Disclosure Procedures in China,,no DOI recorded
China's General Antiavoidance Rule and Its Commitment to the Exchange of Information,,no DOI recorded
Red China's Green Ambition: Using Taxation and Emissions Trading to Address Pollution,,no DOI recorded
Simple and Competitive: Proposed Tax Measures in Hong Kong,,no DOI recorded
Convergence and Divergence : China's Development Path to a Modern Tax System,,no DOI recorded
Foreign Tax Credits and the Complexity of Tax Law: China as a Case Study,,no DOI recorded
Chinese Tax Policy and the Promotion of Agricultural Cooperatives and Environmental Protection,,no DOI recorded
Applying VAT to Financial Services in China: Opportunities for China and Lessons for the World?,,no DOI recorded
Urbanisation and the Right to Housing: the Role of Property Tax,,no DOI recorded
The Application of General Anti-tax Avoidance Rules in Hong Kong,,no DOI recorded
Addressing the Hidden Costs of Automobile Use in China: The Potential Role of Tax,,no DOI recorded
The Impact of the Global Financial Crisis on Broadly Based Indirect Taxation: A Chinese Case Study,,no DOI recorded
Green Taxation in China: A Possible Consolidated Transport Fuel Tax to Promote Clean Air,,no DOI recorded
Reforming Value Added Tax in Mainland China: A Comparison with the EU,,no DOI recorded
Putting the 'Value Added' in China's VAT,,no DOI recorded
No Taxation without Representation: China’s Taxation History and its Political-Legal Development,,no DOI recorded
The Income Tax System: A Basis of Limited Government,,no DOI recorded
Taxation and Constitutionalism in China,,no DOI recorded
The Informational Role of Stock and Warrant Trades: Empirical Evidence from China,,no DOI recorded
Intraday return and volatility spill-over across international copper futures markets,,no DOI recorded
Asymmetric effect of basis on dynamic futures hedging: Empirical evidence from commodity markets,10.1016/j.bankfin.2007.01.026,DOI not found in OpenAlex
Hedging with Chinese metal futures,,no DOI recorded
"Spot-futures spread, time-varying correlation, and hedging with currency futures",,no DOI recorded
Availability and settlement of individual stock futures and options expiration-day effects: evidence from high-frequency data,,no DOI recorded
Alternative settlement methods and Australian individual share futures contracts,,no DOI recorded
"Return Autocorrelations on Individual Stocks and Corresponding Futures: Evidence from Australian, Hong Kong, and United Kingdom Markets",,no DOI recorded
Contract settlement specification and price discovery:  Empirical evidence in Australia individual share futures market,,no DOI recorded
Options expiration effects and the role of individual share futures contracts,,no DOI recorded
Mechanisms underlying the formation and enlargement of noncommunicating syringomyelia: experimental studies,,no DOI recorded
The value of public information in commodity futures markers,,no DOI recorded
What do Options have to do With It?: Inclusion of Options Market Indicators in Bid-ask Spread Decomposition,,no DOI recorded
A spreadsheet application to evaluate the performance of protective puts,,no DOI recorded
Crises as Opportunities for Growth: The Strategic Value of Business Group Affiliation,,no DOI recorded
Filling the Capital Gap: The Financing Case for Crowd Sourced Equity Funding in Australia,,no DOI recorded
Family Business Groups around the World: Costs and Benefits of Pyramids,,no DOI recorded
When Financial Institutions are Large Shareholders- The Role of Macro Corporate Governance Environments,,no DOI recorded
Predicting financial volatility: High-frequency time-series forecastsvis-a-vis implied volatility,,no DOI recorded
